easting,northing,elevation,bouguer_anomaly,unit
0.00,0.00,430.25950,-0.21519,mGal
60.00,0.00,427.75490,-0.28578,mGal
120.00,0.00,426.85860,-0.36814,mGal
180.00,0.00,426.98240,-0.44043,mGal
240.00,0.00,427.03190,-0.47011,mGal
300.00,0.00,427.03890,-0.44253,mGal
360.00,0.00,426.70830,-0.37628,mGal
420.00,0.00,426.60400,-0.30179,mGal
480.00,0.00,427.81630,-0.23654,mGal
540.00,0.00,429.32650,-0.18347,mGal
600.00,0.00,430.52610,-0.14148,mGal
0.00,60.00,429.37800,-0.27977,mGal
60.00,60.00,427.28150,-0.40258,mGal
120.00,60.00,426.78550,-0.57075,mGal
180.00,60.00,426.99820,-0.74075,mGal
240.00,60.00,427.00590,-0.81779,mGal
300.00,60.00,427.00640,-0.74740,mGal
360.00,60.00,426.94600,-0.58889,mGal
420.00,60.00,427.23040,-0.43925,mGal
480.00,60.00,428.41720,-0.32567,mGal
540.00,60.00,430.16790,-0.24144,mGal
600.00,60.00,431.71700,-0.17879,mGal
0.00,120.00,429.64780,-0.34699,mGal
60.00,120.00,427.30550,-0.54225,mGal
120.00,120.00,426.79770,-0.86205,mGal
180.00,120.00,427.01180,-1.21995,mGal
240.00,120.00,427.00460,-1.39278,mGal
300.00,120.00,427.00990,-1.27792,mGal
360.00,120.00,426.93160,-0.92897,mGal
420.00,120.00,427.28540,-0.63932,mGal
480.00,120.00,428.64350,-0.45135,mGal
540.00,120.00,430.53940,-0.31905,mGal
600.00,120.00,432.38590,-0.22480,mGal
0.00,180.00,430.42740,-0.39478,mGal
60.00,180.00,427.49520,-0.64774,mGal
120.00,180.00,426.81730,-1.09901,mGal
180.00,180.00,427.01270,-1.58781,mGal
240.00,180.00,427.00390,-1.82720,mGal
300.00,180.00,427.00830,-1.75790,mGal
360.00,180.00,426.93790,-1.34026,mGal
420.00,180.00,427.18730,-0.92817,mGal
480.00,180.00,428.78010,-0.64885,mGal
540.00,180.00,431.00120,-0.43208,mGal
600.00,180.00,433.05250,-0.28234,mGal
0.00,240.00,431.00160,-0.40352,mGal
60.00,240.00,427.73650,-0.65735,mGal
120.00,240.00,426.79130,-1.10451,mGal
180.00,240.00,426.99560,-1.64589,mGal
240.00,240.00,427.00450,-1.95860,mGal
300.00,240.00,427.01160,-1.98000,mGal
360.00,240.00,426.94940,-1.72452,mGal
420.00,240.00,427.06110,-1.42272,mGal
480.00,240.00,428.74550,-1.05967,mGal
540.00,240.00,431.55370,-0.61771,mGal
600.00,240.00,434.12480,-0.35251,mGal
0.00,300.00,430.80190,-0.37368,mGal
60.00,300.00,427.83800,-0.58528,mGal
120.00,300.00,426.82410,-0.94699,mGal
180.00,300.00,426.99320,-1.45227,mGal
240.00,300.00,427.00430,-1.82894,mGal
300.00,300.00,427.01360,-1.99806,mGal
360.00,300.00,426.94680,-1.96870,mGal
420.00,300.00,427.02640,-1.94845,mGal
480.00,300.00,428.68170,-1.62889,mGal
540.00,300.00,431.66130,-0.88531,mGal
600.00,300.00,434.67100,-0.41283,mGal
0.00,360.00,430.76600,-0.32066,mGal
60.00,360.00,428.11860,-0.47522,mGal
120.00,360.00,426.89260,-0.71666,mGal
180.00,360.00,426.98930,-1.05885,mGal
240.00,360.00,427.00760,-1.44082,mGal
300.00,360.00,427.01930,-1.71263,mGal
360.00,360.00,426.95490,-1.80344,mGal
420.00,360.00,427.01150,-1.78295,mGal
480.00,360.00,428.79240,-1.42587,mGal
